feature_0,feature_4,feature_6,feature_7,feature_8,feature_9,feature_10,feature_15,feature_19,feature_22,feature_23,feature_24,feature_25,feature_29,feature_30,feature_31,feature_46,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_74,feature_75,feature_78,feature_79,feature_80,feature_84,feature_85,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_101,feature_102,feature_103,feature_104,feature_106,feature_107,feature_108,feature_114,feature_115,feature_117,feature_124,feature_126,feature_127,feature_129,feature_132,feature_135,feature_136,feature_141,feature_143,feature_145,feature_146,feature_148,feature_149,feature_153,feature_155,feature_156,feature_158,feature_159,feature_165,feature_169,feature_170,feature_171,feature_175,feature_176,feature_177,feature_180,feature_183,feature_184,feature_185,feature_187,feature_188,feature_192,feature_193,feature_198,feature_199,feature_200,feature_202,feature_203,feature_204,feature_205,feature_209,feature_211,feature_212,IC50_mM,CC50_mM,SI,log_ic50,log_cc50,log_si
0,5.094096221873098,0.3872247872728121,0.3872247872728121,0.4173618732617801,42.92857142857143,384.6520000000002,0.03884365429851114,0.6428571428571429,14.8222660494387,9.700469635810666,2.600532088113167,-2.343082085132494,0.193480759150443,3.150502892205044,1.164037575501787,2187750.164884781,0.0,0.0,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,0.0,54.38406644399575,74.03236601452443,35.34286375616011,0.0,11.4233700055414,0.0,0.0,43.48058343518124,105.7506394274039,13.08951281182515,0.0,0.0,0.0,24.51288281736655,0.0,0.0,0.0,0.0,0.0,21.65996187758712,24.92532490414794,64.20821622926012,11.4233700055414,0.0,41.54242319814374,9.984809465271338,0.0,10.1881924437462,0.0,4.807589192862531,1.764908477578238,13.25822336932681,16.98108651648622,0.0,0,4,0,0,4,7.121200000000009,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.239373566893883,175.4823815688905,28.125,1.979534678744531,5.17322105025146,3.371596911885865
1,3.961416712562997,0.5338684970983402,0.5338684970983402,0.4624728071616784,45.21428571428572,388.6840000000002,0.01288657023386288,0.6071428571428571,14.97511000634207,9.689226058600022,2.614066470420122,-2.394689647839289,0.1203222980173243,3.150502892205044,1.080362063115187,2187750.164884781,10.63357720801266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38406644399575,97.95185976514314,12.08368165829592,0.0,0.0,0.0,10.63357720801266,33.49577396990991,117.8343210856998,13.08951281182515,0.0,10.63357720801266,0.0,25.17319447012107,0.0,0.0,0.0,0.0,0.0,21.65996187758712,23.91949375061871,77.29772904108526,0.0,0.0,52.1760004061564,0.0,0.0,0.0,7.922833425125994,2.153503044012327,1.914376644091859,14.13538102269576,17.6705653555792,0.0,0,4,0,0,4,6.155600000000006,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7718312468161961,5.402818727713373,7.000000000000001,0.5720136144742184,1.8567383196116873,2.0794415416798357
2,2.627117384182923,0.5432308210510737,0.5432308210510737,0.2609227801240689,42.1875,446.8080000000003,0.09480154751355077,0.5625,15.35393759886982,9.68129265007358,2.665273775695772,-2.4772026580666,-0.9229015704343101,3.214947253123124,1.219066029523398,8610750.760455066,8.966061715389248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.54242319814374,74.03236601452444,23.67162418464558,53.36388240082982,0.0,0.0,0.0,33.49577396990991,117.8343210856998,41.28020074253391,0.0,0.0,0.0,62.32994411621907,0.0,0.0,0.0,0.0,0.0,21.65996187758712,23.91949375061871,86.2637907564745,0.0,0.0,69.73311112885249,0.0,2.517629791177771,0.0,0.0,2.184127470091298,1.930720384526508,14.4916192655274,18.2872161632852,10.18361802183522,0,4,0,0,4,7.129200000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,223.8087777802645,161.1423200017905,0.72,5.415250164322453,5.088474468090415,0.5423242908253617
3,5.097360048942529,0.390602645354716,0.390602645354716,0.3778455055831542,41.86206896551724,398.6790000000002,0.03884364519596072,0.6206896551724138,14.82121596989277,9.70049715960851,2.600528653569801,-2.342884614287352,0.1935102089478292,3.17926985320412,1.120512909778165,3572141.766774113,0.0,0.0,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,0.0,60.80488806692176,74.03236601452443,35.34286375616011,0.0,11.4233700055414,0.0,0.0,43.48058343518124,112.1714610503299,13.08951281182515,0.0,0.0,0.0,24.51288281736655,0.0,0.0,0.0,0.0,0.0,21.65996187758712,24.92532490414794,70.62903785218613,11.4233700055414,0.0,41.54242319814374,9.984809465271338,0.0,10.19472009788506,0.0,4.827851813732591,1.769975405362917,14.69543927282678,17.01201341019265,0.0,0,4,0,0,4,7.511300000000009,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.705624296116444,107.8556540191281,39.26666666666667,0.9953326790584517,4.690022729548165,3.695523996832605
4,5.150509901253949,0.2704760518661459,0.2704760518661459,0.4290384545075999,36.51428571428571,466.7130000000003,0.06289745878380013,0.6,14.83111152791072,9.70038553581742,2.602485715919116,-2.342009125064716,0.193686506552366,3.337073624442143,1.13667806407789,105375761.6128024,0.0,0.0,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,0.0,65.80789147199017,103.0039156488389,22.25335094433497,11.37477254936712,22.79814255490853,0.0,0.0,43.48058343518124,86.48817455862581,0.0,0.0,0.0,0.0,11.4233700055414,6.42082162292601,0.0,0.0,0.0,10.82998093879356,10.82998093879356,29.63140626461592,61.07520272649145,0.0,0.0,90.07335974583661,9.984809465271338,0.0,10.3010198025079,0.0,9.0717826238612,1.605177804776269,8.627310798875893,14.6923179140855,0.0,0,4,0,0,6,9.1148,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.1315318094944,139.2709913523427,1.3,4.683348373226237,4.94357620416467,0.832909122935104
5,5.758408034812463,0.278082987709212,0.278082987709212,0.711012171569234,28.6,332.4910000000001,0.06289745878380013,0.96,14.82086038684734,9.700404399924688,2.592294942303743,-2.341882516374624,0.1937013120396086,2.92051309758689,1.523516049715847,628774.7878580671,5.733667477162185,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,45.03667987291831,72.40855426450265,16.81406174685105,5.687386274683562,17.08645755213783,0.0,0.0,21.74029171759062,46.4544980907759,5.733667477162185,0.0,5.733667477162185,0.0,5.711685002770702,6.42082162292601,0.0,0.0,0.0,5.41499046939678,5.41499046939678,23.71350021845453,36.10105285494272,0.0,12.13273413692322,57.16941400984153,10.72607220979785,0.0,5.068012779568516,0.0,12.35843304181242,0.8065186492255949,4.766280046136041,7.291772414368499,0.0,0,2,0,0,4,5.778300000000005,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03791057255341,30.07582114510681,2.0,2.7749553303968137,3.436430061668948,1.0986122886681098
6,2.584471926061785,0.4296494105587354,0.4296494105587354,0.3285394231379137,36.56410256410256,528.8690000000004,0.1321598962435728,0.5641025641025641,15.36101173216274,9.680919227135966,2.670743012800814,-2.469845058357347,0.07359663479233358,3.412805476470516,1.156405779851839,459191993.9711307,0.0,11.37477254936712,0.0,0.0,0.0,0.0,8.966061715389248,0.0,0.0,0.0,65.80789147199017,90.16227240298683,23.67162418464558,40.27436958900468,11.37477254936712,0.0,8.966061715389248,33.49577396990991,98.57185621692173,28.19068793070876,0.0,8.966061715389248,0.0,40.27436958900468,6.42082162292601,0.0,0.0,0.0,0.0,33.74364353588304,27.22269543063804,61.02660527031718,0.0,0.0,118.2640476765454,0.0,2.020151197669513,0.0,0.0,7.534827179741789,1.766502445743767,9.374572387765228,15.32736940690484,9.825937407060971,0,4,0,0,6,8.840800000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18.90816681541091,14.5592884478664,0.7700000000000001,2.9911300402765977,2.7446577881330487,0.5709795465857379
7,13.8218795773563,0.07984497572618143,-0.3012595406838834,0.2173322318502264,31.33333333333333,695.0890000000002,0.2257502739547918,0.6078431372549019,16.15288237462965,9.49217585385057,2.558257201437969,-2.54270129672399,-0.1391007821176213,3.095616828856079,0.9245477374022117,142014916108.3997,10.63357720801266,0.0,0.0,11.81435945870301,0.0,0.0,9.589074368143644,0.0,0.0,0.0,123.8922081229247,132.0905303028812,13.08951281182515,10.82998093879356,11.81435945870301,0.0,10.63357720801266,22.66579303111634,174.3680149725315,13.08951281182515,0.0,10.63357720801266,0.0,24.90387227052816,33.26069855278922,0.0,0.0,0.0,33.47432133629013,23.67162418464557,96.5601939098633,46.222352196034,0.0,0.0,102.4216772163073,0.0,0.0,27.6437591547126,6.784550242797004,8.473058000295891,2.427543794831465,16.41501480298867,20.05913061783378,0.0,0,4,0,0,6,10.83709999999999,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28.77308680552558,23.59393118053097,0.82,3.3936048581148057,3.202499712524456,0.598836501088704
8,14.17161448496984,0.01912310216277069,-0.4118276311098905,0.1877813773196451,29.15789473684211,763.1229999999996,0.2301233691404194,0.5614035087719298,16.15299700868541,9.492103494849209,2.560237194207268,-2.542448017052229,-0.1333978689798444,3.184153270801699,0.8938029516960042,4095502691529.447,10.63357720801266,0.0,0.0,11.81435945870301,0.0,0.0,9.589074368143644,0.0,0.0,0.0,128.8952115279931,161.0620799371957,11.37477254936712,10.82998093879356,23.18913200807014,0.0,0.0,22.66579303111634,148.6847284808275,10.63357720801266,0.0,10.63357720801266,0.0,11.81435945870301,39.68152017571523,0.0,0.0,0.0,22.64434039749657,23.67162418464557,82.00381040155325,44.50761193357597,0.0,0.0,150.9526137640002,0.0,0.0,28.34322896993967,6.697445184779838,12.08548694301886,1.999976124989597,11.28886419851416,18.37752500961026,0.0,0,4,0,0,8,12.82219999999998,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.05706767794174,153.7092680267687,3.070680628272251,3.932943981216754,5.041547665459806,1.4038102160067594
9,6.135893460779373,0.2392260518661458,0.2392260518661458,0.4399154244159055,36.4,468.6850000000003,0.1270830306641318,0.6,16.48055297498304,9.700415948571102,2.602517443310568,-2.341981426347941,0.193686540716181,3.337073624442143,1.13667806407789,105375761.6128024,4.736862953800049,11.49902366656781,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,0.0,41.54242319814374,109.7216593163653,22.25335094433497,11.37477254936712,22.79814255490853,0.0,0.0,43.48058343518124,80.0673529356998,0.0,11.49902366656781,4.736862953800049,0.0,11.4233700055414,0.0,0.0,0.0,0.0,10.82998093879356,10.82998093879356,47.55125155410974,37.10665649724544,0.0,24.26546827384644,65.80789147199017,14.72167241907139,6.135893460779373,10.18990869139679,0.0,6.033338664104559,3.240723679372919,7.523698139305892,14.56293519803611,0.0,0,4,0,0,6,9.3163,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.400846618646093,400.9063598812003,39.26666666666667,2.001594401591184,5.996219125866402,3.695523996832605
10,5.856557841500798,0.2468329877092124,0.2468329877092124,0.701836833957373,28.44,334.4630000000001,0.1270830305154059,0.96,16.48053625393566,9.700419604583464,2.592316095734774,-2.341842673811976,0.1937010586340334,2.92051309758689,1.523516049715847,628774.7878580671,10.47053043096223,11.49902366656781,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,20.77121159907187,79.12629793202909,16.81406174685104,5.687386274683562,17.08645755213783,0.0,0.0,21.74029171759062,40.0336764678499,5.733667477162185,11.49902366656781,10.47053043096223,0.0,5.711685002770702,0.0,0.0,0.0,0.0,5.41499046939678,5.41499046939678,35.21252388502234,18.55332824862272,0.0,48.53093654769288,20.77121159907187,15.4629351635979,5.856557841500798,5.01245722401296,0.0,9.44534862807167,2.382598464830799,3.755862605239929,7.227081056343808,0.0,0,2,0,0,4,5.979800000000006,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.185789245511488,32.88834407187598,7.857142857142859,1.6459220471683302,3.5230711225743687,2.1812242359897787
