Original,New
Unnamed: 0,feature_0
MaxAbsEStateIndex,feature_4
MaxEStateIndex,feature_5
MinAbsEStateIndex,feature_6
MinEStateIndex,feature_7
qed,feature_8
SPS,feature_9
MolWt,feature_10
HeavyAtomMolWt,feature_11
ExactMolWt,feature_12
NumValenceElectrons,feature_13
NumRadicalElectrons,feature_14
MaxPartialCharge,feature_15
MinPartialCharge,feature_16
MaxAbsPartialCharge,feature_17
MinAbsPartialCharge,feature_18
FpDensityMorgan1,feature_19
FpDensityMorgan2,feature_20
FpDensityMorgan3,feature_21
BCUT2D_MWHI,feature_22
BCUT2D_MWLOW,feature_23
BCUT2D_CHGHI,feature_24
BCUT2D_CHGLO,feature_25
BCUT2D_LOGPHI,feature_26
BCUT2D_LOGPLOW,feature_27
BCUT2D_MRHI,feature_28
BCUT2D_MRLOW,feature_29
AvgIpc,feature_30
BalabanJ,feature_31
BertzCT,feature_32
Chi0,feature_33
Chi0n,feature_34
Chi0v,feature_35
Chi1,feature_36
Chi1n,feature_37
Chi1v,feature_38
Chi2n,feature_39
Chi2v,feature_40
Chi3n,feature_41
Chi3v,feature_42
Chi4n,feature_43
Chi4v,feature_44
HallKierAlpha,feature_45
Ipc,feature_46
Kappa1,feature_47
Kappa2,feature_48
Kappa3,feature_49
LabuteASA,feature_50
PEOE_VSA1,feature_51
PEOE_VSA10,feature_52
PEOE_VSA11,feature_53
PEOE_VSA12,feature_54
PEOE_VSA13,feature_55
PEOE_VSA14,feature_56
PEOE_VSA2,feature_57
PEOE_VSA3,feature_58
PEOE_VSA4,feature_59
PEOE_VSA5,feature_60
PEOE_VSA6,feature_61
PEOE_VSA7,feature_62
PEOE_VSA8,feature_63
PEOE_VSA9,feature_64
SMR_VSA1,feature_65
SMR_VSA10,feature_66
SMR_VSA2,feature_67
SMR_VSA3,feature_68
SMR_VSA4,feature_69
SMR_VSA5,feature_70
SMR_VSA6,feature_71
SMR_VSA7,feature_72
SMR_VSA8,feature_73
SMR_VSA9,feature_74
SlogP_VSA1,feature_75
SlogP_VSA10,feature_76
SlogP_VSA11,feature_77
SlogP_VSA12,feature_78
SlogP_VSA2,feature_79
SlogP_VSA3,feature_80
SlogP_VSA4,feature_81
SlogP_VSA5,feature_82
SlogP_VSA6,feature_83
SlogP_VSA7,feature_84
SlogP_VSA8,feature_85
SlogP_VSA9,feature_86
TPSA,feature_87
EState_VSA1,feature_88
EState_VSA10,feature_89
EState_VSA11,feature_90
EState_VSA2,feature_91
EState_VSA3,feature_92
EState_VSA4,feature_93
EState_VSA5,feature_94
EState_VSA6,feature_95
EState_VSA7,feature_96
EState_VSA8,feature_97
EState_VSA9,feature_98
VSA_EState1,feature_99
VSA_EState10,feature_100
VSA_EState2,feature_101
VSA_EState3,feature_102
VSA_EState4,feature_103
VSA_EState5,feature_104
VSA_EState6,feature_105
